,Unnamed: 0,School ID,School Name,2012,2013,2014,2015,2016,2017,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link ,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Community Area Name,Ward,Police District,Location
27,53,609710,HARLAN HS,16.7,13.8,9.5,10.5,11.3,"7,3%",John M Harlan Community Academy High School,HS,9652 S Michigan Ave ,Chicago,IL,60628,(773) 535-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609710.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,81.2%,21.6,94.4%,95.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,16,40,17.8,15.6,-2.9,-0.8,Red,Yellow,100,40,13.2,12.9,14.1,13.7,0.5,14.7,0.6,5.9,47.9,55.7,1245,48,64.4,150000000000000,1178815.804,1840781.935,41.71840075,-87.62066069,49,ROSELAND,6,5,"(41.71840075, -87.62066069)"
28,54,609711,HARPER HS,13.0,13.8,10.3,5.1,6.1,"2,4%",William Rainey Harper High School,HS,6520 S Wood St ,Chicago,IL,60636,(773) 535-9150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609711.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,22.0,Weak,32,Weak,39.0,Average,42.0,Weak,31,Weak,31,Average,49,Average,53,73.0%,63.6,94.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.2,11.9,13.1,13.4,1.2,14.4,1.3,5.9,37,40.3,621,43,64.2,150000000000000,1165424.867,1861341.255,41.77511222,-87.66912563,67,WEST ENGLEWOOD,15,7,"(41.77511222, -87.66912563)"
29,55,609712,HIRSCH HS,18.0,26.3,27.2,23.7,12.9,"13,6%",Emil G Hirsch Metropolitan High School,HS,7740 S Ingleside Ave ,Chicago,IL,60619,(773) 535-3100,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609712.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,13.0,Average,46,Weak,28.0,Weak,28.0,Average,52,Average,50,NDA,NDA,NDA,NDA,84.8%,47.1,95.4%,88.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.5,11.2,12.9,12.4,0.9,14.1,1.2,10.8,36.2,45.1,458,46,69.5,150000000000000,1183865.127,1853710.216,41.7537612,-87.60176452,69,GREATER GRAND CROSSING,8,6,"(41.7537612, -87.60176452)"
30,56,609768,HOPE HS,11.5,7.6,10.6,7.9,9.4,"3,9%",Hope College Preparatory High School,HS,5515 S Lowe Ave ,Chicago,IL,60621,(773) 535-3160,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609768.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,31.0,Average,51,Weak,37.0,Average,44.0,Average,56,Weak,35,NDA,NDA,NDA,NDA,72.2%,24.0,94.3%,99.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.3,13,13.7,13.5,1.2,15,1.3,16.7,55.2,58.2,561,45,63.6,150000000000000,1172948.54,1868120.666,41.79355292,-87.64134488,68,ENGLEWOOD,3,7,"(41.79355292, -87.64134488)"
31,58,609741,HUBBARD HS,9.3,5.6,3.9,2.1,2.3,"4,1%",Gurdon S Hubbard High School,HS,6200 S Hamlin Ave ,Chicago,IL,60629,(773) 535-2200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609741.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,42.0,NDA,NDA,Weak,34.0,Weak,29.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,89.3%,4.3,96.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.4,14.2,15.3,15.3,0.9,17.3,2,30.1,57.2,51.3,1672,44,64.5,150000000000000,1152065.741,1863208.025,41.78050763,-87.71804991,65,WEST LAWN,13,8,"(41.78050763, -87.71804991)"
32,59,609713,HYDE PARK HS,16.0,14.3,8.2,4.7,4.5,"0,7%",Hyde Park Academy High School,HS,6220 S Stony Island Ave ,Chicago,IL,60637,(773) 535-0880,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609713.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,29.0,Weak,39,Weak,34.0,Average,43.0,Weak,35,Average,41,NDA,NDA,NDA,NDA,70.5%,18.5,94.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.8,14.4,14.1,1.1,15.6,1.2,11.1,51.1,57.6,1518,46,63.7,150000000000000,1187898.897,1864121.427,41.78223539,-87.58665115,42,WOODLAWN,5,3,"(41.78223539, -87.58665115)"
33,60,610384,INFINITY HS,3.6,0.5,2.6,4.2,1.0,"1,2%",Infinity Math Science and Technology High School,HS,3120 S Kostner Ave ,Chicago,IL,60623,(773) 535-4225,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610384.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,58.0,NDA,NDA,Strong,66.0,Strong,65.0,NDA,NDA,NDA,NDA,Average,51,Average,48,92.2%,7.5,96.0%,85.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.1,15,14.8,15.1,1,17.2,2.4,29,84.4,55.7,388,37,98.1,150000000000000,1147521.3020000001,1883405.128,41.83601953,-87.73419465,30,SOUTH LAWNDALE,22,10,"(41.83601953, -87.73419465)"
34,65,609678,JONES HS,1.9,1.6,0.2,0.8,0.7,"0,3%",William Jones College Preparatory High School,HS,606 S State St ,Chicago,IL,60605,(773) 534-8600,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609678.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,92.0,NDA,NDA,Strong,64.0,Strong,67.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.8%,4.5,95.3%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,19.6,20.3,21.3,21.1,1.5,24.8,3.5,83.3,90.1,86.9,871,38,92.8,150000000000000,1176412.354,1897618.0880000002,41.87441898,-87.62775497,32,LOOP,2,1,"(41.87441898, -87.62775497)"
35,66,609764,JUAREZ HS,6.8,4.6,3.2,3.7,4.1,"2,6%",Benito Juarez Community Academy High School,HS,2150 S Laflin St ,Chicago,IL,60608,(773) 534-7030,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609764.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,46.0,Average,53,Average,44.0,Average,45.0,Average,49,Average,48,NDA,NDA,NDA,NDA,83.7%,17.2,95.8%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.2,13.7,14.6,14.5,1.3,15.8,1.2,14.8,56.2,48.8,1683,39,71.1,150000000000000,1166665.696,1889615.3480000002,41.85267306,-87.66376931,31,LOWER WEST SIDE,25,12,"(41.85267306, -87.66376931)"
36,67,609762,JULIAN HS,8.2,3.9,6.4,4.6,2.6,"1,2%",Percy L Julian High School,HS,10330 S Elizabeth St ,Chicago,IL,60643,(773) 535-5170,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609762.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,28.0,Average,50,Weak,30.0,Weak,35.0,Average,53,Average,51,NDA,NDA,NDA,NDA,74.6%,33.4,94.2%,98.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.1,12.8,14.2,13.9,0.8,14.8,0.6,8.3,60.3,54.9,1226,49,65.3,150000000000000,1169808.363,1836139.004,41.70585971,-87.65378585,73,WASHINGTON HEIGHTS,21,22,"(41.70585971, -87.65378585)"
37,68,609715,KELLY HS,8.9,3.1,2.3,4.2,5.0,"6,6%",Thomas Kelly High School,HS,4136 S California Ave ,Chicago,IL,60632,(773) 535-4900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609715.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,36.0,Average,53,Weak,36.0,Weak,35.0,Strong,61,Average,57,NDA,NDA,NDA,NDA,89.3%,5.8,95.3%,99.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.4,13.4,15.1,14.6,1.2,17.1,2,22.1,67.4,46.4,2883,39,65.6,150000000000000,1158337.7859999998,1877175.576,41.81871101,-87.69467483,58,BRIGHTON PARK,14,9,"(41.81871101, -87.69467483)"
38,69,609716,KELVYN PARK HS,14.0,11.2,11.9,8.6,6.8,"7,3%",Kelvyn Park High School,HS,4343 W Wrightwood Ave ,Chicago,IL,60639,(773) 534-4200,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609716.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,32.0,Weak,28,Weak,32.0,Weak,28.0,Very Weak,19,Average,43,NDA,NDA,NDA,NDA,74.4%,12.9,94.5%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,12.2,13.8,13.8,1,14.9,1.1,16.7,54.1,35,1252,29,56.9,150000000000000,1146795.845,1916879.493,41.92789092,-87.73600171,20,HERMOSA,31,25,"(41.92789092, -87.73600171)"
39,70,609718,KENNEDY HS,12.8,11.8,12.3,6.2,6.9,"4,5%",John F Kennedy High School,HS,6325 W 56th St ,Chicago,IL,60638,(773) 535-2325,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609718.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,53.0,Weak,30,Weak,32.0,Weak,27.0,Weak,22,Weak,24,NDA,NDA,NDA,NDA,83.0%,22.0,94.7%,99.3%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.8,14.1,15.1,15.6,0.8,16.4,1.3,24.4,53.3,52.9,1589,44,59.7,150000000000000,1135044.301,1866707.447,41.79042796,-87.78037224,56,GARFIELD RIDGE,23,8,"(41.79042796, -87.78037224)"
40,71,609746,KENWOOD HS,3.2,4.6,3.1,2.1,2.0,"1,4%",Kenwood Academy High School,HS,5015 S Blackstone Ave ,Chicago,IL,60615,(773) 535-1350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609746.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,63.0,NDA,NDA,Average,48.0,Average,56.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,88.4%,5.9,95.3%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,60.2,75,69.5,31.0,-1.1,-0.5,Red,Yellow,81.2,49,15.6,15.1,16.8,16.9,1.3,19.1,2.3,26.8,69.5,79.7,1852,46,70.3,150000000000000,1186813.047,1871954.1519999998,41.80375479,-87.59038395,39,KENWOOD,4,2,"(41.80375479, -87.59038395)"
41,72,609751,KING HS,3.2,4.9,3.2,1.9,1.4,"0,6%",Dr  Martin Luther King  Jr  College Prep High School,HS,4445 S Drexel Blvd ,Chicago,IL,60653,(773) 535-1180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609751.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,56,Average,52,92.9%,4.4,96.3%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,17.4,17.7,17.7,18.1,0.7,20.5,2.8,31.9,75.4,85.1,915,40,91.1,150000000000000,1183114.175,1875544.7869999998,41.81369471,-87.60383761,39,KENWOOD,4,2,"(41.81369471, -87.60383761)"
42,73,609719,LAKE VIEW HS,5.4,2.9,1.3,3.4,2.4,"2,7%",Lake View High School,HS,4015 N Ashland Ave ,Chicago,IL,60613,(773) 534-5440,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609719.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,64.0,NDA,NDA,Average,52.0,Average,43.0,NDA,NDA,NDA,NDA,Average,49,Weak,43,87.7%,8.5,96.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.3,15.8,16.1,16.7,1.4,17.8,1.7,36.6,81.4,62.8,1500,33,87.3,150000000000000,1164975.217,1926813.581,41.95478361,-87.66891643,6,LAKE VIEW,47,19,"(41.95478361, -87.66891643)"
43,74,609720,LANE TECH HS,1.4,1.2,1.6,1.9,1.7,"0,6%",Albert G Lane Technical High School,HS,2501 W Addison St ,Chicago,IL,60618,(773) 534-5400,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609720.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,88.0,NDA,NDA,Strong,62.0,Average,52.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.3%,2.1,96.2%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,3.5,67.9,92.2,79.8,4368,35,90.7,150000000000000,1158975.392,1923791.705,41.94661693,-87.69105603,5,NORTH CENTER,47,19,"(41.94661693, -87.69105603)"
44,76,609738,LINCOLN PARK HS,4.7,3.1,2.8,1.8,1.8,"2,3%",Lincoln Park High School,HS,2001 N Orchard St ,Chicago,IL,60614,(773) 534-8130,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609738.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,65.0,Strong,61,Average,44.0,Average,49.0,Average,45,Average,45,NDA,NDA,NDA,NDA,84.6%,9.2,96.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,17.7,18,18.6,19,1.3,21.6,3,53.6,77.9,75.5,2342,33,74.4,150000000000000,1171322.336,1913569.392,41.91830362,-87.64597389,7,LINCOLN PARK,43,18,"(41.91830362, -87.64597389)"
45,77,610391,LINDBLOM HS,5.6,1.4,1.0,0.1,1.1,"2,2%",Robert Lindblom Math & Science Academy High School,HS,6130 S Wolcott Ave ,Chicago,IL,60636,(773) 535-9300,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610391.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Strong,66.0,NDA,NDA,Strong,75.0,Very Strong,85.0,NDA,NDA,NDA,NDA,Strong,55,Average,51,92.7%,2.1,95.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,49.1,70.2,61.7,37.6,-1.2,-0.8,Red,Yellow,61.1,78.2,18,18.5,19.1,19,1,22.2,3.1,29.1,68.9,85.9,916,43,83.3,150000000000000,1164703.614,1863861.294,41.78204279999999,-87.67169858,67,WEST ENGLEWOOD,15,7,"(41.7820428, -87.67169858)"
46,83,609722,MANLEY HS,18.2,20.7,21.9,12.5,18.4,"7,1%",Manley Career Academy High School,HS,2935 W Polk St ,Chicago,IL,60612,(773) 534-6900,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609722.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,41.0,Weak,39,Average,43.0,Weak,31.0,Very Weak,19,Weak,32,NDA,NDA,NDA,NDA,66.8%,19.7,95.4%,98.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.2,11.9,13.3,13,0.8,13.8,0.5,6.7,49,51.9,599,37,59.3,150000000000000,1156776.858,1896186.78,41.87091163,-87.69988652,27,EAST GARFIELD PARK,28,11,"(41.87091163, -87.69988652)"
47,84,609780,MARINE LEADERSHIP AT AMES HS,11.054605263157892,13.293406593406589,12.39516129032258,0.3,0.4,"0,4%",Ames Middle School,MS,1920 N Hamlin Ave ,Chicago,IL,60647,(773) 534-4970,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609780.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Weak,38.0,Very Weak,17,Weak,27.0,Weak,35.0,Weak,26,Weak,26,Average,50,Average,50,94.3%,5.3,96.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,35.1,27.9,76.8,51.1,9.2,18.4,14.5,3.0,-1.9,-1.5,Red,Red,28.8,55,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,586,34,NDA,150000000000000,1150696.779,1912593.823,41.91605519,-87.72177945,22,LOGAN SQUARE,26,25,"(41.91605519, -87.72177945)"
48,85,609723,MARSHALL HS,14.6,13.4,16.6,8.2,5.2,"6,3%",John Marshall Metropolitan High School,HS,3250 W Adams St ,Chicago,IL,60624,(773) 534-6455,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609723.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,51.0,Average,52,Average,45.0,Average,46.0,Average,49,Average,42,NDA,NDA,NDA,NDA,74.1%,42.9,95.8%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.7,11.8,13.4,13.2,1.5,14.6,1.2,6.5,36.8,45.2,726,38,55.2,150000000000000,1154542.5829999999,1898925.511,41.87847194,-87.70801612,27,EAST GARFIELD PARK,28,11,"(41.87847194, -87.70801612)"
49,86,609724,MATHER HS,9.2,7.1,5.8,3.7,6.1,"5,3%",Stephen T Mather High School,HS,5835 N Lincoln Ave ,Chicago,IL,60659,(773) 534-2350,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609724.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,58.0,Average,44,Average,48.0,Average,47.0,Average,50,Average,56,NDA,NDA,NDA,NDA,87.6%,7.6,96.5%,97.9%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.5,14.4,15,15.4,0.9,15.9,0.9,24.6,56.2,57.4,1657,32,59,150000000000000,1155766.152,1938701.409,41.9875954,-87.70244871,2,WEST RIDGE,40,20,"(41.9875954, -87.70244871)"
50,87,609725,MORGAN PARK HS,13.6,3.7,8.0,6.6,7.3,"4,0%",Morgan Park High School,HS,1744 W Pryor Ave ,Chicago,IL,60643,(773) 535-2550,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609725.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,40.0,NDA,NDA,Weak,25.0,Weak,38.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.2%,11.1,94.6%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,60,80,52.0,38.2,-1.8,-1.0,Red,Yellow,98.5,64.1,14.7,14.6,15.6,15.9,1.2,17.8,2.2,33.6,80,78.5,1584,49,73.3,150000000000000,1166609.57,1831085.382,41.69206041,-87.66564309,75,MORGAN PARK,19,22,"(41.69206041, -87.66564309)"
51,88,610385,MULTICULTURAL HS,5.1,4.3,3.1,3.7,4.2,"3,3%",Multicultural Academy of Scholarship,HS,3120 S Kostner Ave ,Chicago,IL,60623,(773) 535-4242,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610385.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Average,48.0,NDA,NDA,Average,47.0,Average,42.0,NDA,NDA,NDA,NDA,Strong,56,Average,52,89.2%,22.4,96.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,13,14.4,14.1,1.1,15.6,1.2,21.1,58,58.5,324,37,78.7,150000000000000,1147521.3020000001,1883405.128,41.83601953,-87.73419465,30,SOUTH LAWNDALE,22,10,"(41.83601953, -87.73419465)"
52,108,609691,NORTH-GRAND HS,6.7,6.2,6.2,4.3,3.2,"3,2%",North-Grand High School,HS,4338 W Wabansia Ave ,Chicago,IL,60639,(773) 534-8520,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609691.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,42.0,NDA,NDA,Weak,39.0,Weak,25.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,88.6%,15.3,95.6%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.3,12.8,14.1,14.2,0.9,15.4,1.3,15.8,69.7,41.3,883,34,81.3,150000000000000,1147041.135,1910981.274,41.91170094,-87.73525151,23,HUMBOLDT PARK,31,25,"(41.91170094, -87.73525151)"
53,109,609744,NORTHSIDE LEARNING HS,0.0,0.0,0.7,0.0,0.0,"0,9%",Northside Learning Center High School,HS,3730 W Bryn Mawr Ave ,Chicago,IL,60659,(773) 534-5180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609744.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,NDA,Standard,Not Applicable,Not Enough Data,No,Very Strong,99.0,Very Strong,99,Very Strong,81.0,Weak,34.0,Strong,75,Very Strong,84,Strong,62,Strong,59,89.8%,5.3,95.6%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,66.7,0,NDA,298,31,NDA,150000000000000,1150357.037,1936987.496,41.98299994,-87.72238881,13,NORTH PARK,39,17,"(41.98299994, -87.72238881)"
54,110,609749,NORTHSIDE PREP HS,0.9,0.3,0.2,0.4,0.1,"0,8%",Northside College Preparatory High School,HS,5501 N Kedzie Ave ,Chicago,IL,60625,(773) 534-3954,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609749.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99.0,NDA,NDA,Very Strong,99.0,Very Strong,88.0,NDA,NDA,NDA,NDA,Strong,57,Strong,62,95.7%,2.8,96.8%,98.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,22.4,22.2,24.5,24.7,2.3,28.8,4.3,98,97.6,90.7,1053,31,95.9,150000000000000,1154090.8590000002,1936413.866,41.98135196,-87.70867192,13,NORTH PARK,40,17,"(41.98135196, -87.70867192)"
55,111,610529,OGDEN HS,6.9,6.6,4.3,1.2,2.1,"0,3%",Ogden International High School,HS,1250 W Erie St ,Chicago,IL,60622,(773) 534-0866,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610529.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Not Enough Data,No,Average,56.0,NDA,NDA,Weak,39.0,Weak,24.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.2%,13.7,0.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,61.9,71.6,48.1,61.6,47.9,69.2,42.6,38.9,-0.6,-0.6,Red,Yellow,58.7,29,14.5,14.7,NDA,16,1.5,NDA,NDA,NDA,NDA,NDA,558,35,93.3,150000000000000,1167748.1,1904529.595,41.89357570000001,-87.65936676,24,WEST TOWN,27,13,"(41.8935757, -87.65936676)"
